"";"X";"Start.Time";"End.Time";"Trip.Duration";"Start.Station";"End.Station";"User.Type";"Gender";"Age";"city"
"30";5383277;"2017-06-06 11:23:30";"2017-06-06 11:26:56";205;"W 43 St & 10 Ave";"9 Ave & W 45 St";"Subscriber";"Male";69;"ny"
"31";3146215;"2017-04-21 18:09:21";"2017-04-21 18:14:15";294;"Grand St & Elizabeth St";"Grand St & Greene St";"Subscriber";"Female";25;"ny"
"32";2018488;"2017-03-23 18:35:06";"2017-03-23 18:50:26";920;"W 20 St & 11 Ave";"St Marks Pl & 2 Ave";"Subscriber";"Male";69;"ny"
"33";3676202;"2017-05-02 21:43:28";"2017-05-02 22:29:15";2746;"Old Fulton St";"Broadway & E 14 St";"Customer";"";NA;"ny"
"34";1389460;"2017-02-25 10:58:09";"2017-02-25 11:03:08";298;"Allen St & Hester St";"Rivington St & Chrystie St";"Subscriber";"Male";34;"ny"
"35";6321417;"2017-06-22 18:52:41";"2017-06-22 19:15:50";1388;"E 55 St & 3 Ave";"Milton St & Franklin St";"Subscriber";"Male";32;"ny"
"36";936709;"2017-02-08 12:06:50";"2017-02-08 12:08:41";111;"8 Ave & W 52 St";"W 54 St & 9 Ave";"Subscriber";"Male";45;"ny"
"37";1975396;"2017-03-22 08:56:43";"2017-03-22 09:07:13";630;"Broadway & W 29 St";"E 17 St & Broadway";"Customer";"";NA;"ny"
"38";642530;"2017-01-28 16:32:30";"2017-01-28 16:53:55";1284;"Cathedral Pkwy & Broadway";"Central Park S & 6 Ave";"Subscriber";"Male";46;"ny"
"39";5630375;"2017-06-10 14:03:43";"2017-06-10 14:05:00";76;"Bayard St & Baxter St";"Bayard St & Baxter St";"Customer";"";NA;"ny"
"40";5481113;"2017-06-08 07:25:48";"2017-06-08 07:31:17";328;"Driggs Ave & N Henry St";"N 8 St & Driggs Ave";"Subscriber";"Female";34;"ny"
"41";3873453;"2017-05-07 10:50:22";"2017-05-07 10:56:44";382;"Perry St & Bleecker St";"8 Ave & W 31 St";"Subscriber";"Male";27;"ny"
